,Country Name,Country Code,Year,Continent,World Regions (UN SDG Definition),Regime Type (RoW Measure Definition),"Population, total - SP.POP.TOTL",Access to electricity (% of population) - EG.ELC.ACCS.ZS,GDP (current US$) - NY.GDP.MKTP.CD,GDP per capita (current US$) - NY.GDP.PCAP.CD,Renewable energy consumption (% of total final energy consumption) - EG.FEC.RNEW.ZS,Renewable electricity output (% of total electricity output) - EG.ELC.RNEW.ZS,Women Business and the Law Index Score (scale 1-100) - SG.LAW.INDX,Proportion of seats held by women in national parliaments (%) - SG.GEN.PARL.ZS,Income Classification (World Bank Definition),Individuals using the Internet (% of population) - IT.NET.USER.ZS,power_soec,power_f,suffrage_f,dmr_f,Gini index (World Bank estimate) - SI.POV.GINI
0,Aruba,ABW,2000,North America,Latin America and Caribbean,,,91.660398,1873452514.0,20617.75047,0.17530000199999998,0.0,,,High income,,,,,,
1,Aruba,ABW,2001,North America,Latin America and Caribbean,,92892.0,100.0,1920111732.0,20670.36701,0.180500001,0.0,,,High income,17.1,,,,,
2,Aruba,ABW,2002,North America,Latin America and Caribbean,,94992.0,100.0,1941340782.0,20436.887130000006,0.181400001,0.0,,,High income,18.8,,,,,
3,Aruba,ABW,2003,North America,Latin America and Caribbean,,97016.0,100.0,2021229050.0,20833.97636,0.184599996,0.0,,,High income,20.8,,,,,
4,Aruba,ABW,2004,North America,Latin America and Caribbean,,98744.0,100.0,2228491620.0,22568.37499,0.187099993,0.0,,,High income,23.0,,,,,
5,Aruba,ABW,2005,North America,Latin America and Caribbean,,100028.0,100.0,2330726257.0,23300.73836,0.1866,0.0,,,High income,25.4,,,,,
6,Aruba,ABW,2006,North America,Latin America and Caribbean,,100830.0,100.0,2424581006.0,24046.22638,0.189899996,0.0,,,High income,28.0,,,,,
7,Aruba,ABW,2007,North America,Latin America and Caribbean,,101226.0,100.0,2615083799.0,25834.111780000007,0.189999998,0.0,,,High income,30.9,,,,,
8,Aruba,ABW,2008,North America,Latin America and Caribbean,,101362.0,100.0,2745251397.0,27083.63486,0.193499997,0.0,,,High income,52.0,,,,,
9,Aruba,ABW,2009,North America,Latin America and Caribbean,,101452.0,100.0,2498882682.0,24631.18205,0.299800009,0.0,,,High income,58.0,,,,,
10,Aruba,ABW,2010,North America,Latin America and Caribbean,,101665.0,93.35629215,2390502793.0,23513.5277,5.464700222,11.32737715,,,High income,62.0,,,,,
11,Aruba,ABW,2011,North America,Latin America and Caribbean,,102050.0,100.0,2549720670.0,24985.01392,5.661799908,12.10102096,,,High income,69.0,,,,,
