,Country Name,Country Code,Continent,Year,GDP (current US$) - NY.GDP.MKTP.CD,GDP per capita (current US$) - NY.GDP.PCAP.CD,Women Business and the Law Index Score (scale 1-100) - SG.LAW.INDX,Proportion of seats held by women in national parliaments (%) - SG.GEN.PARL.ZS,pol_gen,exl_gen,cddrst_soc,hogrst_soc,hosrst_soc,just_pbadm,free_acexp,free_rel,pow_sxo,exl_eco,exl_geo,exl_pol,exl_soc,labour_share,Income Classification (World Bank Definition),power_soec,power_f,suffrage_f,dmr_f,"Compulsory education, duration (years) - SE.COM.DURS","School enrollment, secondary (% gross) - SE.SEC.ENRR",domestic_movement,slave,suffrage,minwage,si02,si03,si05,si07,fiscal,tariff,ODA,No. of Refugees (No of Accepted Applications)
0,Aruba,ABW,North America,2000,1873452514.0,20617.75047,,,,,,,,,,,,,,,,0.884981455,High income,,,,,,96.51616669,,,,,,,,,,,,
2,Afghanistan,AFG,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,0.47100000000000003,0.0,1.0,,,,,,,,0.0
4,Angola,AGO,Africa,2000,9129634978.0,556.8386317000001,62.5,15.45454545,0.484,0.631,1.0,,1.0,-1.068,-1.493,0.762,-0.20600000000000002,0.8370000000000001,0.9309999999999999,0.7859999999999999,0.873,0.37240019799999996,Low income,0.36700000000000005,-0.198,100.0,-1.208,4.0,12.26628017,0.138,0.531,100.0,,,10.6,,,,,,62.0
5,Albania,ALB,Europe,2000,3480355189.0,1126.6833179999999,80.0,5.161290323,0.6859999999999999,0.273,1.0,1.0,1.0,0.003,1.402,2.386,0.193,0.303,0.145,0.35600000000000004,0.23199999999999998,0.922612275,Lower-middle income,0.441,1.005,100.0,1.006,8.0,71.07807922,0.8290000000000001,0.6409999999999999,100.0,,,,,,,,,15.0
6,Andorra,AND,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,United Arab Emirates,ARE,Asia,2000,104337000000.0,33291.36625,26.875,0.0,0.25,0.58,1.0,1.0,1.0,1.6640000000000001,0.35600000000000004,0.049,-1.834,0.41200000000000003,0.34,0.613,0.737,0.914518237,High income,-0.8809999999999999,-1.515,0.0,-0.888,6.0,,0.29100000000000004,0.171,0.0,,12.7,12.9,19.5,86.0,,,,82.0
9,Argentina,ARG,South America,2000,284204000000.0,7708.099115000001,65.0,26.45914397,0.861,0.081,1.0,,1.0,0.39899999999999997,2.7119999999999997,2.265,1.178,0.267,0.172,0.043,0.1,0.8351817709999999,Upper-middle income,1.5019999999999998,1.579,100.0,1.995,10.0,95.93660736,0.9329999999999999,0.816,100.0,3.0,16.0,,10.6,61.1,,,,85.0
10,Armenia,ARM,Asia,2000,1911563669.0,622.7409229,58.75,3.053435115,0.695,0.341,0.0,0.0,0.0,-0.682,1.037,0.7190000000000001,-1.216,0.439,0.28,0.331,0.075,0.870110798,Low income,-0.747,-0.317,100.0,2.055,10.0,92.1519928,0.924,0.833,100.0,,17.5,14.3,25.0,83.4,,,,
12,Antigua and Barbuda,ATG,North America,2000,826370370.4,10872.29295,66.25,5.263157895,,,,,,,,,,,,,,,Upper-middle income,,,,,11.0,79.66178131,,,,,,,,,,,,
13,Australia,AUS,Oceania,2000,415223000000.0,21679.24784,81.25,22.97297297,0.9309999999999999,0.039,1.0,1.0,1.0,3.4560000000000004,2.648,2.615,1.548,0.022000000000000002,0.057999999999999996,0.012,0.027999999999999997,0.7868470679999999,High income,0.9079999999999999,1.9980000000000002,100.0,1.45,10.0,,0.8320000000000001,0.91,100.0,2.0,0.5,6.9,9.8,132.1,,,,4559.0
14,Austria,AUT,Europe,2000,196800000000.0,24564.458290000002,78.75,26.77595628,0.9359999999999999,0.057999999999999996,1.0,1.0,1.0,2.521,2.6210000000000004,1.59,1.655,0.061,0.067,0.036000000000000004,0.06,0.828175813,High income,1.033,1.389,100.0,2.3080000000000003,9.0,98.69606018,0.932,0.903,100.0,2.0,2.4,5.2,13.3,,,,,986.0
15,Azerbaijan,AZE,Asia,2000,5272798391.0,655.1199452000001,66.875,,0.59,0.324,1.0,1.0,1.0,-1.101,-0.696,0.42,-1.278,0.546,0.435,0.857,0.41700000000000004,0.551780232,Low income,-1.327,-0.308,100.0,1.476,9.0,,0.782,0.696,100.0,,,,,,,,,346.0
16,Burundi,BDI,Africa,2000,870486065.9,136.4639708,64.375,14.40677966,0.622,0.408,1.0,,1.0,-0.62,-0.128,1.761,-0.505,0.7120000000000001,0.519,0.7020000000000001,0.624,0.7058646009999999,Low income,1.936,0.703,0.0,-0.326,,,0.318,0.797,0.0,,,,,,,,,
17,Belgium,BEL,Europe,2000,236205000000.0,23041.53473,75.625,23.33333333,0.938,0.045,1.0,1.0,1.0,3.028,3.2119999999999997,2.1519999999999997,2.503,0.059000000000000004,0.06,0.03,0.027999999999999997,0.8595499670000001,High income,2.1,2.675,100.0,2.418,12.0,144.8762817,0.9420000000000001,0.8640000000000001,100.0,2.0,2.8,2.8,12.0,57.0,,,,1380.0
18,Benin,BEN,Africa,2000,3519991440.0,512.6739185,49.375,6.024096386,0.8540000000000001,0.222,1.0,,1.0,-0.736,2.18,1.359,1.723,0.413,0.505,0.298,0.24,0.81632935,Low income,1.026,1.454,100.0,2.176,6.0,21.83777046,0.927,0.919,100.0,,,,,,,,,1878.0
19,Burkina Faso,BFA,Africa,2000,2968369991.0,255.71868730000003,70.625,8.108108108,0.748,0.266,1.0,1.0,1.0,0.9129999999999999,1.935,1.212,0.237,0.25,0.39399999999999996,0.14800000000000002,0.163,0.92092181,Low income,0.953,0.818,100.0,1.298,10.0,10.42247963,0.83,0.855,100.0,,,,,,,,,
20,Bangladesh,BGD,Asia,2000,53369787319.0,418.0689421,38.125,9.090909091,0.6829999999999999,0.506,1.0,1.0,1.0,-1.101,0.574,1.886,-1.811,0.857,0.823,0.7390000000000001,0.5770000000000001,0.952058414,Low income,-1.546,1.308,100.0,0.8420000000000001,5.0,49.76398849,0.823,0.6709999999999999,100.0,,34.9,3.5,6.7,59.1,,,,15.0
21,Bulgaria,BGR,Europe,2000,13245833844.0,1621.242961,68.125,10.83333333,0.91,0.061,1.0,1.0,1.0,1.3730000000000002,2.237,1.4369999999999998,1.237,0.083,0.151,0.051,0.106,0.847619729,Lower-middle income,1.51,2.296,100.0,1.655,9.0,92.78795624,0.8690000000000001,0.93,100.0,1.0,17.3,15.3,35.6,51.3,,,,262.0
22,Bahrain,BHR,Asia,2000,9062898936.0,13636.41675,28.75,,0.363,0.696,1.0,1.0,1.0,-0.484,-0.7070000000000001,-0.998,-1.5430000000000001,0.493,0.381,0.642,0.778,0.837703898,Upper-middle income,-1.074,-1.3980000000000001,0.0,0.035,,97.56947327,0.44799999999999995,0.626,0.0,,,,,,,,,
23,"Bahamas, The",BHS,North America,2000,8076470000.0,27098.15632,73.125,15.0,,,,,,,,,,,,,,0.9166691109999999,High income,,,,,12.0,,,,,,,,,,,,,0.0
24,Bosnia and Herzegovina,BIH,Europe,2000,5505887894.0,1467.7764769999999,66.875,,0.754,0.245,1.0,1.0,0.0,-0.218,1.278,1.791,0.624,0.418,0.25,0.613,0.531,1.024971757,Lower-middle income,0.259,0.9009999999999999,100.0,0.203,8.0,,0.524,0.903,100.0,,9.9,,26.3,64.2,,,,23.0
25,Belarus,BLR,Europe,2000,12738912134.0,1276.493985,73.125,,0.821,0.10400000000000001,1.0,1.0,1.0,0.142,-0.271,0.38299999999999995,-0.14300000000000002,0.034,0.09699999999999999,0.28600000000000003,0.061,0.823649449,Lower-middle income,1.626,0.8220000000000001,100.0,2.1719999999999997,9.0,,0.9159999999999999,0.685,100.0,,10.8,,24.4,,,,,0.0
26,Belize,BLZ,North America,2000,832072464.7,3364.49179,71.875,6.896551724,,,,,,,,,,,,,,0.790894095,Lower-middle income,,,,,8.0,67.98631287,,,,,,,,,,,,0.0
27,Bermuda,BMU,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Bolivia,BOL,South America,2000,8397912509.0,997.5817489,58.75,11.53846154,0.675,0.517,1.0,,1.0,-0.10300000000000001,2.164,1.256,-0.405,0.358,0.45,0.425,0.5489999999999999,0.864378345,Lower-middle income,1.433,0.537,100.0,1.9280000000000002,8.0,72.90833282,0.895,0.7040000000000001,100.0,3.0,10.3,9.8,13.5,61.4,,,,5.0
29,Brazil,BRA,South America,2000,655421000000.0,3749.753271,56.875,5.653021442000001,0.8079999999999999,0.084,1.0,,1.0,0.6729999999999999,2.7769999999999997,3.055,0.723,0.254,0.185,0.018000000000000002,0.228,0.881528056,Upper-middle income,0.76,1.359,100.0,2.263,8.0,,0.94,0.56,100.0,1.0,8.3,12.1,13.8,81.4,,,,304.0
30,Barbados,BRB,North America,2000,3059500000.0,11268.420059999999,70.625,10.71428571,0.866,0.08,1.0,1.0,1.0,1.3880000000000001,1.327,2.207,1.652,0.133,0.079,0.084,0.14300000000000002,0.869628077,High income,0.48700000000000004,1.936,100.0,2.095,11.0,103.6240768,0.924,0.6990000000000001,100.0,,,,,,,,,
31,Brunei Darussalam,BRN,Asia,2000,6001153306.0,18012.50219,46.875,,,,,,,,,,,,,,,0.696433834,High income,,,,,,84.64923096,,,,,,,,,,,,
32,Bhutan,BTN,Asia,2000,424464089.9,718.196337,55.0,9.333333332999999,0.644,0.387,1.0,1.0,1.0,1.7,0.063,-0.17800000000000002,0.953,0.266,0.441,0.642,0.27899999999999997,0.905031699,Low income,0.193,0.151,0.0,0.312,,30.02342987,0.615,0.772,0.0,,,,,,,,,
33,Botswana,BWA,Africa,2000,5788329609.0,3522.310821,40.625,17.0212766,0.77,0.253,0.0,,0.0,2.847,2.015,1.94,1.02,0.225,0.24,0.258,0.225,0.817508036,Upper-middle income,0.44299999999999995,0.152,100.0,1.656,,80.41092682,0.836,0.848,100.0,,1.7,10.3,27.1,96.1,,,,2279.0
34,Central African Republic,CAF,Africa,2000,914500299.1,251.20729139999997,58.75,7.3394495410000005,0.5920000000000001,0.5820000000000001,1.0,1.0,1.0,-1.058,1.15,0.9840000000000001,0.21100000000000002,0.809,0.618,0.742,0.852,0.898487452,Low income,0.585,1.182,100.0,-0.099,10.0,,0.355,0.608,100.0,,,,,,,,,50.0
35,Canada,CAN,North America,2000,744773000000.0,24271.00206,97.5,,0.93,0.055999999999999994,1.0,1.0,1.0,2.7239999999999998,2.278,1.9709999999999999,2.178,0.067,0.094,0.027000000000000003,0.064,0.805005015,High income,1.6780000000000002,2.698,100.0,2.367,10.0,101.9231262,0.9470000000000001,0.903,100.0,1.0,1.3,4.7,11.9,42.8,,,,13982.0
